recording,scene_type,local_r3d_path,file_size_bytes,fps,frame_count,rgb_width,rgb_height,depth_width,depth_height,rgb_jpg_members,depth_members,confidence_members,metadata_keys
Garage1,indoor_garage,G:\Research\Proximity\Analysis\Expe1\Garage1\Shareable\2026-06-25--15-00-36.r3d,435280846,60,3292,960,720,256,192,3292,3292,3292,K;cameraType;dh;dw;fps;frameTimestamps;h;initPose;perFrameIntrinsicCoeffs;poses;w
Garage2,indoor_garage,G:\Research\Proximity\Analysis\Expe1\Garage2\Shareable\2026-06-25--15-02-11.r3d,530434316,60,4051,960,720,256,192,4051,4051,4051,K;cameraType;dh;dw;fps;frameTimestamps;h;initPose;perFrameIntrinsicCoeffs;poses;w
Garage3,indoor_garage,G:\Research\Proximity\Analysis\Expe1\Garage3\Shareable\2026-06-25--15-04-14.r3d,481455438,60,3651,960,720,256,192,3651,3651,3651,K;cameraType;dh;dw;fps;frameTimestamps;h;initPose;perFrameIntrinsicCoeffs;poses;w
Garage4,indoor_garage,G:\Research\Proximity\Analysis\Expe1\Garage4\Shareable\2026-06-25--15-06-13.r3d,301954265,30,2256,960,720,256,192,2256,2256,2256,K;cameraType;dh;dw;fps;frameTimestamps;h;initPose;perFrameIntrinsicCoeffs;poses;w
Pave1,outdoor_pavement_closed_road_sim,G:\Research\Proximity\Analysis\Expe1\Pave1\Shareable\2026-06-25--16-34-28.r3d,397332534,30,2686,960,720,256,192,2686,2686,2686,K;cameraType;dh;dw;fps;frameTimestamps;h;initPose;perFrameIntrinsicCoeffs;poses;w
Pave2,outdoor_pavement_closed_road_sim,G:\Research\Proximity\Analysis\Expe1\Pave2\Shareable\2026-06-25--16-27-50.r3d,253543575,30,1814,960,720,256,192,1814,1814,1814,K;cameraType;dh;dw;fps;frameTimestamps;h;initPose;perFrameIntrinsicCoeffs;poses;w
